Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Desu, Raghuram Karthik; Krishnamurthy, Hansoge Nitin; Balu, Aditya; Gupta, Amit Kumar; Singh, Swadesh Kumar; ",Mechanical properties of Austenitic Stainless Steel 304L and 316L at elevated temperatures,Journal of Materials Research and Technology,5,1,13-20,2016,Elsevier
"Gupta, Amit Kumar; Guntuku, Sharath Chandra; Desu, Raghuram Karthik; Balu, Aditya; ",Optimisation of turning parameters by integrating genetic algorithm with support vector regression and artificial neural networks,The International Journal of Advanced Manufacturing Technology,77,1,331-339,2015,Springer London
"Gupta, Amit Kumar; Krishnamurthy, Hansoge Nitin; Puranik, Pavan; Singh, Swadesh Kumar; Balu, Aditya; ",An exponential strain dependent Rusinek–Klepaczko model for flow stress prediction in austenitic stainless steel 304 at elevated temperatures,Journal of Materials Research and Technology,3,4,370-377,2014,Elsevier
"Kotkunde, Nitin; Balu, Aditya; Gupta, Amit Kumar; Singh, Swadesh Kumar; ",Flow stress Prediction of Ti-6Al-4V alloy at elevated temperature using artificial neural network,Applied Mechanics and Materials,612,,83-88,2014,Trans Tech Publications Ltd
"Kotkunde, Nitin; Deole, Aditya D; Gupta, Amit Kumar; Singh, Swadesh Kumar; Aditya, B; ",Failure and formability studies in warm deep drawing of Ti–6Al–4V alloy,Materials & Design,60,,540-547,2014,Elsevier
"Desu, Raghuram Karthik; Guntuku, Sharath Chandra; Aditya, B; Gupta, Amit Kumar; ",Support vector regression based flow stress prediction in austenitic stainless steel 304,Procedia Materials Science,6,,368-375,2014,Elsevier
"Srinivasa Prakash Regalla, R. Anirudh Reddy, B. Aditya, and Nikhil Tatke; ",Investigation of Additive Manufactured Sustainable Composite Wind Turbine Blades under Static Loading,Journal of Sustainable Manufacturing and Renewable Energy,2,(1-2),,2013,
"Kotkunde, Nitin; Balu, Aditya; Gupta, Amit Kumar; Singh, Swadesh Kumar; ",Development of predictive models for formability study of Ti-6Al-4V alloy at elevated temperatures,Materials Today: Proceedings,4,2,937-945,2017,Elsevier
"Jiang, Zhanhong; Balu, Aditya; Hegde, Chinmay; Sarkar, Soumik; ",Collaborative deep learning in fixed topology networks,Advances in Neural Information Processing Systems,30,,,2017,
"Balu, Aditya; Ghadai, Sambit; Lore, Kin Gwn; Young, Gavin; Krishnamurthy, Adarsh; Sarkar, Soumik; ",Learning localized geometric features using 3d-cnn: An application to manufacturability analysis of drilled holes,arXiv preprint arXiv:1612.02141,,,,2016,
